company,job-title,level,sql,python,excel,tableau,power bi,remote,da,ds,country,ml,r
Entain,Data Analyst - MarTech,Associate,1,0,1,0,1,0,1,0,aus,0,0
Perigon Group,Data Analyst,Associate,0,0,0,0,1,0,1,0,aus,0,0
SustainAbility Consulting,Data Analyst,Entry level,1,1,0,0,1,0,1,0,aus,0,0
SustainAbility Consulting,Data Analyst,Mid-Senior level,1,1,1,1,0,0,1,0,aus,0,0
Wayfaring,BI Data Analyst,Associate,1,1,1,0,1,0,1,0,aus,0,0
JJO Pentester Enterprise,Data Analyst,Entry level,1,0,0,0,0,0,1,0,aus,0,0
Humanity,Senior Data Analyst,Associate,1,0,0,1,0,0,1,0,aus,0,0
460degrees,Data Analyst - Banking & Finance,Mid-Senior level,1,1,1,0,1,1,1,0,aus,0,1
FoodByUs,Data Analyst,Mid-Senior level,1,0,1,1,0,0,1,0,aus,0,0
ADACT Medical Ltd,Data Analyst,Entry level,0,0,1,0,0,0,1,0,aus,0,0
Workforce Australia for Individuals,Data Analyst,Entry level,1,0,0,0,0,0,1,0,aus,0,0
1300TempFence,Data Analyst,Not Applicable,0,0,1,0,1,0,1,0,aus,0,0
Beyond Zero Technologies,Data Analyst,Associate,1,1,1,1,1,0,1,0,aus,0,0
ANZ,Data Analyst - Simplification,Not Applicable,1,0,1,0,0,0,1,0,aus,0,0
ANZ,Data Analyst - ANZ Plus,Not Applicable,1,0,0,1,0,0,1,0,aus,0,0
Uniting,PowerBi Data and Insights Analyst,Entry level,1,0,1,0,0,0,1,0,aus,0,0
Bridge IT Engineering,Data Analysts and Data Engineers,Mid-Senior level,0,0,0,0,0,0,1,0,aus,0,0
Naviro,Data Quality Analyst,Mid-Senior level,0,1,0,0,0,0,1,0,aus,0,0
NSW Health,Data Analyst,Entry level,0,0,1,0,0,0,1,0,aus,0,0
Softtest Pays,Data Analyst,Entry level,0,0,1,0,1,0,1,0,aus,0,0
Launch Recruitment,Data Analyst,Entry level,0,0,0,0,1,0,1,0,aus,0,0
Firesoft People,Data Analyst,Entry level,1,0,1,0,0,0,1,0,aus,0,0
Advance Thinking,Data Analyst,Mid-Senior level,1,1,1,0,1,0,1,0,aus,1,1
Terra Firma Business Consulting,"Business Data Analyst - Power BI, Tableau",Mid-Senior level,1,0,0,1,1,0,1,0,aus,0,0
Workforce Australia for Individuals,Data Analyst,Entry level,1,1,1,1,1,0,1,0,aus,0,0
Jobs via eFinancialCareers,Data Analyst,Entry level,1,1,1,1,1,0,1,0,aus,0,0
Mane Consulting,Insights Analyst,Entry level,0,1,0,1,0,1,1,0,aus,0,0
Domain,HR Systems and Data Analyst,Mid-Senior level,0,0,0,1,0,0,1,0,aus,0,0
Team Global Express,Data Analyst - Inventory,Mid-Senior level,0,0,1,0,0,0,1,0,aus,0,0
CYOS Solutions,Data Analyst,Entry level,0,0,0,0,0,0,1,0,aus,0,0
PACCAR Australia,Dealership Data Analyst,Entry level,1,0,1,1,0,0,1,0,aus,0,0
Softtest Pays,Data Analyst Data Engineer  senior data analyst senior data engineer,Mid-Senior level,0,0,0,0,0,0,1,0,aus,0,0
Talent,Power BI Analyst,Mid-Senior level,1,0,1,0,1,0,1,0,aus,0,0
Eight Recruitment ??,Data and Reporting Analyst,Associate,0,0,0,0,1,0,1,0,aus,0,0
JBS Australia Pty Limited,HR Data Analyst (HRIS),Not Applicable,1,1,1,1,0,0,1,0,aus,0,0
Eightfold Institute of Australia,Data Science/ Analyst- Professional Internship Program,Internship,1,1,0,0,0,0,1,0,aus,0,0
D'Arcy Weil,Data Analyst - Energy Forecasting,Entry level,1,1,1,1,1,1,1,0,aus,1,1
Open,Senior Data Analyst,Mid-Senior level,1,0,1,1,0,0,1,0,aus,1,0
efm Logistics,Master Data Analyst,Associate,0,0,1,0,0,0,1,0,aus,0,0
Collabera Digital,Database Engineer,Mid-Senior level,1,0,0,0,0,0,1,0,aus,0,0
Wipro,Data Analyst,Not Applicable,1,0,1,0,0,0,1,0,aus,0,0
Appreciating Talent,Data Analyst/Engineer/Scientist - Multiple contracts!,Mid-Senior level,1,0,0,0,0,0,1,0,aus,0,0
Softtest Pays,APS5 Analyst (BI / Data),Mid-Senior level,1,0,0,0,0,0,1,0,aus,0,0
Commonwealth Bank,Analyst/Senior Analyst - Balance Sheet Analytics,Mid-Senior level,1,1,1,0,0,0,1,0,aus,0,1
QBE Insurance,Technical Data Analyst,Entry level,1,0,0,0,0,0,1,0,aus,0,0
Workforce Australia for Individuals,Business Intelligence Analyst,Mid-Senior level,0,0,1,0,0,0,1,0,aus,0,0
Infosys,Data Analyst- FHIR/HL7,Entry level,1,0,1,0,0,0,1,0,aus,0,0
Aegros,Data & Integration Analyst,Associate,1,0,1,0,1,0,1,0,aus,0,0
Michael Page,Data Analyst,Entry level,1,1,1,0,1,0,1,0,aus,0,1
Queensland Government,Senior Data Analyst,Not Applicable,0,0,0,0,0,0,1,0,aus,0,0
Tech Savvy Consulting (TSC),Data Analysts and Data Engineers,Mid-Senior level,0,0,0,0,0,1,1,0,aus,0,0
Workforce Australia for Individuals,Business Intelligence / Data Analyst,Mid-Senior level,1,0,1,1,1,0,1,0,aus,0,0
THE ICONIC,Digital & Reporting Analyst (Google Analytics),Mid-Senior level,1,1,1,1,1,0,1,0,aus,0,1
Crossover ,"Artificial Intelligence Engineer, Trilogy (Remote) - $200,000/year USD",Director,0,0,0,0,0,1,0,1,aus,0,0
Jobs for Humanity,Python Developer,Mid-Senior level,1,1,1,0,0,0,0,1,aus,0,0
CryptoRecruit ,Rust Engineer,Entry level,0,0,0,0,0,1,0,1,aus,0,0
CodeMaya,React JS Developer (Closed),Entry level,0,0,0,0,0,0,0,1,aus,0,0
Hawksworth,Software Engineer (EDIFACT & ICS) - $150k-$160k + super,Associate,0,0,0,0,0,1,0,1,aus,0,0
Datacom,AI Developer,Entry level,0,1,0,0,0,0,0,1,aus,0,0
Workforce Australia for Individuals,Software Engineer,Entry level,0,0,1,0,0,0,0,1,aus,0,0
Talent,Senior Python Developer,Mid-Senior level,0,1,0,0,0,0,0,1,aus,0,0
RecordPoint,Graduate Software Engineer - Melbourne 2024,Entry level,0,0,1,0,0,0,0,1,aus,0,0
Nexus Silicon Technologies,Artificial Intelligence Internship,Internship,0,1,1,0,0,0,0,1,aus,1,1
Fingerprint for Success (F4S),Expression of Interest: Mobile Application Developer,Mid-Senior level,0,0,0,0,0,0,0,1,aus,0,0
Workforce Australia for Individuals,Staff Data Scientist,Entry level,0,1,0,0,0,0,0,1,aus,0,0
